Var1,Var2,Var3
5.36261557261237,5.06688768802029,9.01325909762352
5.64184557660155,5.35794796813739,8.91947104728722
5.92107558059073,5.64621048727944,8.84770178448407
6.20030558457991,5.93101274888826,8.8186639071459
6.47953558856908,6.21264362505748,8.83782435036293
6.75876559255826,6.49201968800502,8.89830976442181
7.13775580543401,6.86986673918261,9.01742212637515
7.51674601830976,7.24807976539381,9.14795708609084
7.89573623118552,7.62805453054672,9.26193952907827
8.27472644406127,8.01008044690119,9.34649067599172
